issuingCompany,tradingName,cnpj,api_prefix
UQMU,1461 INVEST,46639922000144,UQMU
SEGS,180 SEGUROS,39999619000197,SEGS
CBTC,21SH BITCOIN,0,CBTC
AADA,21SH CARDANO,0,AADA
BASK,21SH BASKET,0,BASK
AETH,21SH ETHEREU,0,AETH
SOLN,21SH SOLANA,0,SOLN
AXRP,21SH XRP ETP,0,AXRP
2WAV,2W ENERGIA,8773135000100,2WAV
ENEY,360 ENERGY,53462483000102,ENEY
PTGU,3RPOTIGUAR,44186763000144,PTGU
TZRD,3ZREALTY,8145855000112,TZRD
QVQP,524 PARTICIP,1851771000155,QVQP
NNPY,99 PAY,24313102000125,NNPY
GRDR,GERADORA,33845322000190,GRDR
BODY,BODYTECH,7737623000190,BODY
AACL,AANGELONI,83646984000100,AACL
AYOS,AYOSHII,78016003000100,AYOS
AMCT,A.M.C. TEXTI,75364570000160,AMCT
ABSA,AB 014 SEC,58071694000138,ABSA
ATBC,ABCONCESSOES,15019317000147,ATBC
ABAP,ABAPORTO,15255561000109,ABAP
ABPR,ABAPORU,18546405000195,ABPR
ABCC,ABCBRASIL,29198324000168,ABCC
ABMX,ABIMEX,7121351000108,ABMX
ABGD,ABDEN GOLD,0,ABGD
G1TR,ABRDN PMETAL,0,G1TR
SIVR,ABDEN SILV,0,SIVR
ABRL,ABRIL COM,44597052000162,ABRL
ACEC,ACECOTI,43209436000106,ACEC
FCEF,ACEF,46722831000178,FCEF
ACEE,ACELEN,50886095000160,ACEE
ACIL,ACELEN,54174189000168,ACIL
ACHE,ACHELABORAT,60659463002992,ACHE
ACOV,ACO VERDE,7636657000199,ACOV
ACPB,ACP BIO LTDA,26288346000120,ACPB
ACQO,ACQIO HOLDIN,31446280000190,ACQO
ACQU,ACQUAVIAS SP,65329869000120,ACQU
ACPE,ACU PETROLEO,21778678000170,ACPE
ACEW,AEORM,51990778000398,ACEW
QUAT,QUATA,60855574000173,QUAT
ADMA,ADAMI,83054478000121,ADMA
ADDW,ADDEBITARE,42476570000100,ADDW
ADDI,ADDIANTE,48430290000130,ADDI
ADAG,ADECOAGRO VA,7903169000109,ADAG
ADDC,ADEMICON ADM,84911098000129,ADDC
ADSF,ADICIONAL,7236595000128,ADSF
ADGE,ADM ESTACIO,86862208000135,ADGE
AECY,AEC CENTRO,2455233000104,AECY
AEDI,AEDIFICA OES,58716461000145,AEDI
AEGP,AEGEA,8827501000158,AEGP
AERI,AERIS,12528708000107,AERI
VRCP,VIRACOPOS,14522178000107,VRCP
AENB,AEROPORTOSDO,33919741000120,AENB
AEAB,AES CAJUINA,45024644000158,AEAB
AHBR,AES HOLD BR,5692190000179,AHBR
RNEP,RENOVA EOLIC,11289590000130,RNEP
TCII,AESTUCHOLDII,34623550000189,TCII
AETE,AETEAMAZONIA,6001492000116,AETE
AFFX,AFFIX,18769518000150,AFFX
AFLT,AFLUENTE T,10338320000100,AFLT
AFYA,AFYA PART SA,23399329000172,AFYA
APRO,AGPROPERTIES,47865412000158,APRO
AGPT,AG08PARTICIP,41899757000146,AGPT
AGEP,AGE ADMINIST,35674418000169,AGEP
AGLT,AGEO LESTE S,17233151000192,AGLT
AGNN,AGEO NORTE,4272637000198,AGNN
AGEO,AGEO,3798096000173,AGEO
AGER,AGGER,585578000157,AGER
AGPN,AGIPLANCFI,13660104000174,AGPN
NOWS,AGORATECNOLO,71923304000179,NOWS
UNLT,AGORACFI,36321990000107,UNLT
AGY9,AGRA AGRO,24746687000177,AGY9
AGAL,AGRICOLA ALV,4854422000185,AGAL
AGTL,AGRO TALENT,27664414000171,AGTL
AGML,AGROCERESMUL,28622744000167,AGML
AGXY,AGROGALAXY,21240146000184,AGXY
AGVL,AGROVALE,13642699000135,AGVL
AGVE,VERDESCAMPOS,82253000151,AGVE
NELI,AGRONELLI,10208566000167,NELI
AONT,AGRONUTRI,55968005000102,AONT
AJOT,AGROPASTORIL,87700746000196,AJOT
AGMP,MASUTTI,26595181000130,AGMP
AGND,AGROVIA,18510603000107,AGND
AGTW,AGT ESTRELA,53326726000185,AGTW
AULE,AGUA LIMPA E,7321289000190,AULE
AVTE,AGUAVERMELHA,26855869000101,AVTE
CABC,AGUASCUIABA,14995581000153,CABC
AGIZ,AGUAS IMPERA,39523638000142,AGIZ
ABSP,AGUA BOMBINH,26025075000110,ABSP
ACMB,CAMBORIUSPE,23397533000154,ACMB
AGOV,AGUAS VALAD,53667104000110,AGOV
AGNT,NITEROI,2150336000166,AGNT
AANF,AGUASNOVAFRI,3119806000191,AANF
AUCA,AGUAS PALHOC,57341135000138,AUCA
APNH,PENHASPE,23486042000180,APNH
AGSF,AGUASSAOFRAN,21180700000185,AGSF
AUSP,SINOP,20930953000166,AUSP
GSTS,AGUASTERESIN,27157474000106,GSTS
AGTS,TIMONSAN,21716748000165,AGTS
AAIP,AGUASIMPERAD,2150327000175,AAIP
ADPA,PARA SPE,61067901000195,ADPA
ADPS,PARA B,61067902000130,ADPS
ADPD,PARA,61067904000129,ADPD
AGPB,AGUASPARAIBA,1280003000199,AGPB
AGPI,PIAUI SPE,58425324000151,AGPI
RISP,AGUAS RIO 1,42310775000103,RISP
RIS4,AGUAS RIO 4,42644220000106,RIS4
ASER,AGUASSERTAO,45456117000112,ASER
GRRB,GUARIROBA,4089570000150,GRRB
AGUA,AGUASSANTA,7198897000159,AGUA
ABPS,ÁGUIABRANCA,31469364000149,ABPS
AASC,AGUIA SECURI,36361221000132,AASC
AGLG,AGV LOG,2905424000120,AGLG
AK24,AK 24 EMPREE,13149157000125,AK24
ALAR,ALARES,23438929000100,ALAR
ACEN,ALBIOMAENERG,7966116000129,ACEN
ASOL,ALBIOMASOLA,46731060000185,ASOL
ABIO,ALBIOMA SOLA,62947412000190,ABIO
ABFR,ALCOESTE,43545284000104,ABFR
ALES,ALESAT,23314594000100,ALES
ALEX,ALEXENERGIAP,31908068000105,ALEX
RPAD,ALFA HOLDING,17167396000169,RPAD
ALGC,ALGAR,21246699000144,ALGC
ALGT,ALGAR TELEC,71208516000174,ALGT
GRCT,ALGARTI,5510654000189,GRCT
ALGE,ALIANCA,12009135000105,ALGE
ATGP,ALIANCATRANS,28760485000130,ATGP
ALAL,ALIBEM,3941052000150,ALAL
APTI,ALIPERTI,61156931000178,APTI
ASEO,ALISEO PART,46155662000131,ASEO
AALR,ALLIAR,42771949000135,AALR
ALLD,ALLIED,20247322000147,ALLD
ALAP,ALLONDA AMBI,17718542000105,ALAP
AASN,ALLONDAAMBIE,17894611000123,AASN
ALOS,ALLOS,5878397000132,ALOS
ALPK,ESTAPAR,60537263000166,ALPK
AENR,ALMADA ENERG,47238842000140,AENR
ALMJ,ALMEIDA,82120676000183,ALMJ
ALPA,ALPARGATAS,61079117000105,ALPA
AVLL,ALPHAVILLE,16811931000100,AVLL
AUSA,ALPHAVILLE U,446918000169,AUSA
ALSR,ALSOL,15483161000150,ALSR
ALTF,ALTHAIA SA,48344725000719,ALTF
ALT0,ALTIS CAPI,57590639000191,ALT0
AERS,ALTO ENERGIA,46614985000146,AERS
ALTT,ALTOMAX COM,8307549000135,ALTT
ALUB,ALUBAM,14327122000100,ALUB
ALMC,ALUBARMETAIS,8262121000113,ALMC
ALMZ,ALUMAZON,4955456000166,ALMZ
ALUP,ALUPAR,8364948000138,ALUP
ALUS,ALUSAENG,58580465000149,ALUS
CBLT,ALVOAR LACT,10483444000189,CBLT
ALVD,ALVORADA LTD,89122972000162,ALVD
AMPS,AMAM,19165656000192,AMPS
AATA,AMATA,7909776000178,AATA
AMTG,AM GER TRANS,17957780000165,AMTG
AMSC,AMAZONIA SOL,43102521000162,AMSC
AMBA,AMBARENERGIA,1645009000384,AMBA
ARUG,AMBARURUGUAI,1600202000137,ARUG
ABEV,AMBEV S/A,7526557000100,ABEV
CYAR,A CEARA 1SPE,48569940000122,CYAR
AMB0,A CEARÁ 2SPE,48569926000129,AMB0
AMTL,AMB LIMPEZA,3094629000136,AMTL
AMTR,AMB METROSUL,36641320000178,AMTR
AMMS,AMBIENTAL MS,40074069000184,AMMS
ABPA,AMBIENTALPAR,38138329000196,ABPA
AMBP,AMBIPAR,12648266000124,AMBP
ANET,AMERICA NET,1778972000174,ANET
ATBR,AMER TOWER,4052108000189,ATBR
AMER,AMERICANAS,776574000156,AMER
CBEE,AMPLA ENERG,33050071000158,CBEE
MTAX,ANDAIMES,55930630000157,MTAX
ANDA,ANDALIAS,2227264000108,ANDA
ANDH,ANDORINHA,17613512000126,ANDH
CANT,AGPART,4031960000170,CANT
AGUT,AGUTIERREZ,17262197000130,AGUT
ANEW,ANEMUS,43721079000152,ANEW
AGEM,ANGULO45 EMP,39435090000189,AGEM
AEDU,ANHANGUERA,4310392000146,AEDU
ANIM,ANIMA,9288252000132,ANIM
ANKO,ANKORA,61074275000164,ANKO
AOVS,AOVSSISTEMA,5555382000133,AOVS
ACES,APERAM,33390170000189,ACES
APPT,APIUNA,49272860000173,APPT
APOL,APOLLO 17,37606330000135,APOL
ASPF,APSEN FARMA,62462015000129,ASPF
AFOZ,AQUAFOZAQU,42651953000160,AFOZ
AARJ,AQUARIO,19624745000150,AARJ
ARND,ARANDU,14127813000151,ARND
ARPU,ARAPUA,43674701000119,ARPU
ARSN,ARAUCARIA,12049167000126,ARSN
AETS,ARCO,48961132000106,AETS
INSU,ARCOINSURETE,43751004000114,INSU
ARSP,ARCOS SANEAM,29291541000106,ARSP
ARCV,ARCOVERDE,28008887000183,ARCV
AREG,AREIAENERGIA,7321320000192,AREG
ARSD,ARENA SERRA,60311421000165,ARSD
ARPR,ARES 2 PARTI,27317154000168,ARPR
ARON,ARES ONE PAR,38350319000110,ARON
AGBP,ARGEB,47680198000165,AGBP
AEEP,ARGO ENERGIA,24624551000194,AEEP
TRGO,ARGOTRANSM,24624490000165,TRGO
ARGV,ARGOVTRANS,20514590000188,ARGV
SPRZ,ARGOVITRANS,20514555000169,SPRZ
TJMM,ARGOTRANSVII,21728083000100,TJMM
ARKL,ARKLOK,10489713000114,ARKL
ARML,ARMAC,242184000104,ARML
AMTE,ARMAZEMMATEU,23439441001323,AMTE
ARMB,ARMCO,71586952000187,ARMB
ARQU,ARTECOLA,44699346000103,ARQU
ARTP,ARTEON Z S/A,32711933000183,ARTP
ARTR,ARTERIS,2919555000167,ARTR
ASEC,ARTESANAL,52890908000111,ASEC
CPNB,ARTHURLUNDG,61099834000190,CPNB
ARUN,ARUNA,45290486000188,ARUN
ASAB,ASABRANCAH,9359927000197,ASAB
ASIC,ASA,1551272000142,ASIC
0HBV,ASAP,20716823000125,0HBV
ASCS,ASCENSUS GES,12561807000182,ASCS
ASCV,ASCENSUS TV,44121917000110,ASCV
ASCY,ASCENTYSA,13743550000142,ASCY
ASSR,ASSURUA,38286323000166,ASSR
AISA,ASTER INVEST,42113253000111,AISA
ASTP,ASTICIEPARTI,33824575000188,ASTP
AERE,ASTURIAS,47239287000170,AERE
ATKJ,ATAKAREJO DI,73849952000158,ATKJ
LNDV,ATE V LONDRI,8232879000109,LNDV
CNVI,ATE VI CAMPO,8635011000150,CNVI
FVII,ATE VII FOZ,8806925000136,FVII
