ticker,ticker_prefix,cnpj,issuingCompany,tradingName
PETR4,PETR,33000167000101,PETR,PETROBRAS
ITUB4,ITUB,60872504000123,ITUB,ITAUUNIBANCO
BEEF3,BEEF,67620377000114,BEEF,MINERVA
CSAN3,CSAN,50746577000115,CSAN,COSAN
B3SA3,B3SA,9346601000125,B3SA,B3
ITSA4,ITSA,61532644000115,ITSA,ITAUSA
CPLE3,CPLE,76483817000120,CPLE,COPEL
BBAS3,BBAS,191,BBAS,BRASIL
ABEV3,ABEV,7526557000100,ABEV,AMBEV S/A
BBDC4,BBDC,60746948000112,BBDC,BRADESCO
USIM5,USIM,60894730000105,USIM,USIMINAS
MGLU3,MGLU,47960950000121,MGLU,MAGAZ LUIZA
RAIZ4,RAIZ,33453598000123,RAIZ,RAIZEN
COGN3,COGN,2800026000140,COGN,COGNA ON
LREN3,LREN,92754738000162,LREN,LOJAS RENNER
BHIA3,BHIA,33041260065290,BHIA,CASAS BAHIA
VALE3,VALE,33592510000154,VALE,VALE
RAIL3,RAIL,2387241000160,RAIL,RUMO S.A.
HAPV3,HAPV,5197443000138,HAPV,HAPVIDA
PETR3,PETR,33000167000101,PETR,PETROBRAS
VAMO3,VAMO,23373000000132,VAMO,VAMOS
ONCO3,ONCO,12104241000402,ONCO,ONCOCLINICAS
BPAC11,BPAC,30306294000145,BPAC,BTGP BANCO
CMIG4,CMIG,17155730000164,CMIG,CEMIG
SBSP3,SBSP,43776517000180,SBSP,SABESP
CVCB3,CVCB,10760260000119,CVCB,CVC BRASIL
PRIO3,PRIO,10629105000168,PRIO,PRIO
NATU3,NATU,71673990000177,NATU,NATURA
ENEV3,ENEV,4423567000121,ENEV,ENEVA
CSNA3,CSNA,33042730000104,CSNA,SID NACIONAL
MRVE3,MRVE,8343492000120,MRVE,MRV
PLPL3,PLPL,24230275000180,PLPL,PLANOEPLANO
CSMG3,CSMG,17281106000103,CSMG,COPASA
UGPA3,UGPA,33256439000139,UGPA,ULTRAPAR
RADL3,RADL,61585865000151,RADL,RAIADROGASIL
SAUD3,SAUD,58119199000151,SAUD,BRADSAUDE
BRAV3,BRAV,12091809000155,BRAV,BRAVA
EQTL3,EQTL,3220438000173,EQTL,EQUATORIAL
LIGT3,LIGT,3378521000175,LIGT,LIGHT S/A
MOTV3,MOTV,2846056000197,MOTV,MOTIVA SA
ASAI3,ASAI,6057223000171,ASAI,ASSAI
TOTS3,TOTS,53113791000122,TOTS,TOTVS
KLBN4,KLBN,89637490000145,KLBN,KLABIN S/A
ANIM3,ANIM,9288252000132,ANIM,ANIMA
GRND3,GRND,89850341000160,GRND,GRENDENE
RENT3,RENT,16670085000155,RENT,LOCALIZA
POMO4,POMO,88611835000129,POMO,MARCOPOLO
SMFT3,SMFT,7594978000178,SMFT,SMART FIT
CMIN3,CMIN,8902291000115,CMIN,CSNMINERACAO
DIRR3,DIRR,16614075000100,DIRR,DIRECIONAL
CEAB3,CEAB,45242914000105,CEAB,CEA MODAS
GGBR4,GGBR,33611500000119,GGBR,GERDAU
MBRF3,MBRF,3853896000140,MBRF,MARFRIG
GOAU4,GOAU,92690783000109,GOAU,GERDAU MET
ECOR3,ECOR,4149454000180,ECOR,ECORODOVIAS
AXIA3,AXIA,1180000126,AXIA,AXIA ENERGIA
LJQQ3,LJQQ,96418264021802,LJQQ,QUERO-QUERO
AMBP3,AMBP,12648266000124,AMBP,AMBIPAR
KLBN11,KLBN,89637490000145,KLBN,KLABIN S/A
JHSF3,JHSF,8294224000165,JHSF,JHSF PART
MOVI3,MOVI,21314559000166,MOVI,MOVIDA
EMBJ3,EMBJ,7689002000189,EMBJ,EMBRAER
TEND3,TEND,71476527000135,TEND,TENDA
BBDC3,BBDC,60746948000112,BBDC,BRADESCO
VBBR3,VBBR,34274233000102,VBBR,VIBRA
CYRE3,CYRE,73178600000118,CYRE,CYRELA REALT
SUZB3,SUZB,16404287000155,SUZB,SUZANO S.A.
TIMS3,TIMS,2421421000111,TIMS,TIM
