ticker,ticker_prefix
PETR4,PETR
ITUB4,ITUB
BEEF3,BEEF
CSAN3,CSAN
B3SA3,B3SA
ITSA4,ITSA
CPLE3,CPLE
BBAS3,BBAS
ABEV3,ABEV
BBDC4,BBDC
USIM5,USIM
MGLU3,MGLU
RAIZ4,RAIZ
COGN3,COGN
LREN3,LREN
BHIA3,BHIA
VALE3,VALE
RAIL3,RAIL
HAPV3,HAPV
PETR3,PETR
VAMO3,VAMO
ONCO3,ONCO
BPAC11,BPAC
CMIG4,CMIG
SBSP3,SBSP
CVCB3,CVCB
PRIO3,PRIO
NATU3,NATU
ENEV3,ENEV
CSNA3,CSNA
MRVE3,MRVE
PLPL3,PLPL
CSMG3,CSMG
UGPA3,UGPA
RADL3,RADL
SAUD3,SAUD
BRAV3,BRAV
EQTL3,EQTL
LIGT3,LIGT
MOTV3,MOTV
ASAI3,ASAI
TOTS3,TOTS
KLBN4,KLBN
ANIM3,ANIM
GRND3,GRND
RENT3,RENT
POMO4,POMO
SMFT3,SMFT
CMIN3,CMIN
DIRR3,DIRR
CEAB3,CEAB
GGBR4,GGBR
MBRF3,MBRF
GOAU4,GOAU
ECOR3,ECOR
AXIA3,AXIA
LJQQ3,LJQQ
AMBP3,AMBP
KLBN11,KLBN
JHSF3,JHSF
MOVI3,MOVI
EMBJ3,EMBJ
TEND3,TEND
BBDC3,BBDC
VBBR3,VBBR
CYRE3,CYRE
SUZB3,SUZB
TIMS3,TIMS
RDOR3,RDOR
ALOS3,ALOS
VIVA3,VIVA
GMAT3,GMAT
CURY3,CURY
WEGE3,WEGE
PGMN3,PGMN
ALPA4,ALPA
GGPS3,GGPS
MULT3,MULT
CBAV3,CBAV
YDUQ3,YDUQ
SIMH3,SIMH
BBSE3,BBSE
CXSE3,CXSE
ISAE4,ISAE
RCSL4,RCSL
SMTO3,SMTO
ALUP11,ALUP
RECV3,RECV
AZTE3,AZTE
HBSA3,HBSA
VIVT3,VIVT
VVEO3,VVEO
BRKM5,BRKM
LWSA3,LWSA
QUAL3,QUAL
IGTI11,IGTI
IGTI11,IGTI
ENGI11,ENGI
AMER3,AMER
HYPE3,HYPE
AURE3,AURE
TAEE11,TAEE
KLBN3,KLBN
CPFE3,CPFE
PCAR3,PCAR
ITUB3,ITUB
RAPT4,RAPT
PASS3,PASS
MLAS3,MLAS
FLRY3,FLRY
SANB11,SANB
MDNE3,MDNE
SLCE3,SLCE
EZTC3,EZTC
DXCO3,DXCO
AXIA7,AXIA
SBFG3,SBFG
BRSR6,BRSR
AZEV3,AZEV
EGIE3,EGIE
AUAU3,AUAU
AZZA3,AZZA
RIAA3,RIAA
BRAP4,BRAP
PSSA3,PSSA
EVEN3,EVEN
TTEN3,TTEN
ARML3,ARML
PMAM3,PMAM
SHUL4,SHUL
